playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率,时间段,_group
30097,钱媛媛,1003320449,20005,200406,,2,1003320453,清华大学,1,Qian Yuanyuan,3,PG,289,4.8,200050010977,1,2025-06-06,1,0,,-0.11,,0.076923,,0,,0,,0,0,,0,,0.111111,,0.142857,,0,0,0,,Q1,awayTeamPlayerList
30230,安恒瑶,1003320449,20005,200406,,2,1003320453,清华大学,1,An Hengyao,6,C,274,4.6,200050010977,0,2025-06-06,1,0,,0.16,,0.091912,,0,,0,,0,0,,0,,0.142857,,0.222222,,1,1,0,0,Q1,awayTeamPlayerList
32013,王雨桐,1003320449,20005,200406,,2,1003320453,清华大学,1,Wang Yutong,16,C,184,3.1,200050010977,1,2025-06-06,1,0,,0.73,,0.222222,,0.5,,0,,0,0,,0,,0.142857,,0.25,,0,0,0,,Q1,awayTeamPlayerList
31999,贾晋文,1003320449,20005,200406,,2,1003320453,清华大学,1,Jia Jinwen,4,C,142,2.4,200050010977,0,2025-06-06,1,0,,1.28,,0.173611,,1,,0,,0,0,,0,,0.5,,0.5,,1,1,0,0,Q1,awayTeamPlayerList
32006,李美潼,1003320449,20005,200406,,2,1003320453,清华大学,1,Li Meitong,13,PF,135,2.3,200050010977,1,2025-06-06,1,0,,-0.68,,0,,0,,0,,0,0,,0,,0,,0,,1,0,1,1,Q1,awayTeamPlayerList
32064,王小青,1003320453,20005,200406,,2,1003320449,北京大学,2,Wang Xiaoqing,5,PG,600,10,200050010977,1,2025-06-06,1,0,10.82,-2.33,31.2,0.174825,0,0,0,0,43.2,0.25,0,0,0,0,0,0,0.076923,36.8,1,1,0,0,Q2,homeTeamPlayerList
32067,高梓悦,1003320453,20005,200406,,2,1003320449,北京大学,2,Gao Ziyue,16,C,535,8.9,200050010977,1,2025-06-06,1,0,,4.51,,0.095785,,0.5,,1,,0,0.099751,,0.076923,,0,,0.230769,,3,2,1,0.333333,Q2,homeTeamPlayerList
32071,张涛,1003320453,20005,200406,,2,1003320449,北京大学,2,Zhang Tao,11,PF,492,8.2,200050010977,1,2025-06-06,1,0,,-4.7,,0.301811,,0,,0,,0.666667,0,,0,,0,,0.2,,1,1,0,0,Q2,homeTeamPlayerList
92064,刘琦,1003320453,20005,200406,,2,1003320449,北京大学,2,Liu Qi,6,PF,401,6.7,200050010977,0,2025-06-06,1,0,,1.34,,0.260753,,0.515464,,0,,0,0,,0,,0,,0.1,,1,1,0,0,Q2,homeTeamPlayerList
32072,吴语桐,1003320453,20005,200406,,2,1003320449,北京大学,2,Wu Yutong,4,SG,311,5.2,200050010977,1,2025-06-06,1,0,,0.32,,0.084175,,0,,1,,0,0,,0,,0.125,,0.125,,0,0,0,,Q2,homeTeamPlayerList
