_group,_seasonYear,_season,球员ID,球员姓名,球队ID,赛事ID,赛季ID,stageType,gameMode,opponentId,对手,胜负,球员英文名,球衣号,位置,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,回合占有率百分位排名,回合占有率,真实命中率百分位排名,真实命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,护框尝试频率,护框成功频率,护框失败频率,护框时对手命中率
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320821,中国民航大学,1,Jia Jinwen,4,C,790,13.2,200050010789,1,2025-03-13,1,0,50.37,2.08,98.61,0.289054,39.58,0.404858,81.94,0.181818,88.89,0.091912,0,0,0.25,100,0.2,98.61,0.1,24.31,1,1,0,0
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320658,华北电力大学,1,Jia Jinwen,4,C,1123,18.7,200050010796,1,2025-03-14,1,0,81.43,6.74,77.08,0.215143,100,0.901442,19.44,0.0625,83.33,0.107296,0,0,0,0,0.142857,88.89,0.125,40.97,2,2,0,0
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320661,天津财经大学,1,Jia Jinwen,4,C,1190,19.8,200050010808,1,2025-03-16,1,0,26.54,-0.26,16.67,0.112816,0,0,70.83,0.142857,44.44,0.2,0,0,0,0,0.210526,99.31,0.263158,100,2,1,1,0.5
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320452,北京师范大学,2,Jia Jinwen,4,C,268,4.5,200050010815,1,2025-03-17,1,0,,-0.93,,0.183824,,0,,0,,0,0,,0,,0.166667,,0,,1,0,1,1
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010422337,山东理工大学,1,Jia Jinwen,4,C,566,9.4,200050010820,1,2025-03-18,1,0,,1.45,,0.152038,,0.347222,,0,,0.257732,0.04942,,0.076923,,0.083333,,0.066667,,2,1,1,0.5
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010422541,广西师范大学,1,Jia Jinwen,4,C,160,2.7,200050010947,0,2025-06-01,1,0,,1.61,,0,,0,,0,,0,0.2,,0,,0,,0.5,,0,0,0,
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010422538,武汉科技大学,1,Jia Jinwen,4,C,799,13.3,200050010958,0,2025-06-02,1,0,64.05,3.84,70.83,0.196409,84.72,0.571429,0,0,100,0,0,0,0.083333,100,0.307692,100,0.166667,72.22,3,2,1,0.333333
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010422416,山西财经大学,1,Jia Jinwen,4,C,606,10.1,200050010966,0,2025-06-03,1,0,24.39,-0.48,12.5,0.100604,0,0,77.08,0.166667,1.39,0.5,0.051911,99.31,0,0,0,0,0.125,40.97,0,0,0,
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320453,清华大学,1,Jia Jinwen,4,C,902,15,200050010977,0,2025-06-06,1,0,48.5,1.89,79.17,0.222732,96.53,0.66568,52.08,0.111111,76.39,0.128866,0,0,0,0,0.071429,36.81,0.230769,96.53,2,2,0,0
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,2010421733,北京工业大学,1,Jia Jinwen,4,C,972,16.2,200050010420,0,2024-01-22,1,0,90.11,8.56,100,0.411335,87.18,0.555556,96.58,0.25,100,0,0.071788,100,0,0,0.3,100,0,0,6,2,4,0.666667
