得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,282,-2,0,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,271,2,0,200406,1003320449,Q4,awayTeamDataCount
,0,0,0,,,,2,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q4,awayTeamDataCount
15,1,5,6,4,2,0,2,3,6,13,0.4615,4,4,1,2,7,0.2857,0,2,0,3,3,1,,总和,,,,-2,,200406,1003320449,Q4,awayTeamDataCount
6,0,1,1,2,1,0,0,2,2,4,0.5,1,1,1,1,1,1,0,2,0,2,2,1,28161,李青阳,Li Qingyang,1,1200,-8,1,200406,1003320452,H1,homeTeamDataCount
2,0,1,1,2,0,0,2,0,1,3,0.3333,0,0,0,1,3,0.3333,0,0,0,0,0,0,32090,张笑,,8,1001,-6,1,200406,1003320452,H1,homeTeamDataCount
15,0,5,5,0,1,0,1,2,5,8,0.625,2,2,1,3,4,0.75,0,2,0,5,7,0.7143,80524,张梓涵,Zhang Zihan,7,985,-5,1,200406,1003320452,H1,homeTeamDataCount
0,1,0,1,2,0,0,1,1,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,22700,曹博怡,Cao Boyi,14,902,-3,1,200406,1003320452,H1,homeTeamDataCount
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32054,王翰轶,,10,327,-2,1,200406,1003320452,H1,homeTeamDataCount
1,0,3,3,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0.5,88490,李星诺,Li Xingnuo,11,548,0,0,200406,1003320452,H1,homeTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80520,李妍熹,Li Yanxi,9,325,-6,0,200406,1003320452,H1,homeTeamDataCount
3,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,104527,毛婉如,,12,307,-5,0,200406,1003320452,H1,homeTeamDataCount
0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35590,张书璇,Zhang Shuxuan,5,298,-5,0,200406,1003320452,H1,homeTeamDataCount
0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80522,刘馨悦,Liu Xinyue,16,107,0,0,200406,1003320452,H1,homeTeamDataCount
,0,2,2,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,H1,homeTeamDataCount
27,1,14,15,7,2,0,10,9,9,23,0.3913,3,3,1,5,12,0.4167,1,8,0.125,8,11,0.7273,,总和,,,,-8,,200406,1003320452,H1,homeTeamDataCount
15,0,1,1,2,1,0,0,1,5,9,0.5556,1,1,1,2,3,0.6667,2,5,0.4,3,3,1,80550,伍湘琳,Wu Xianglin,10,1016,11,1,200406,1003320449,H1,awayTeamDataCount
2,1,1,2,0,0,0,1,0,1,3,0.3333,1,2,0.5,0,0,0,0,1,0,0,0,0,32013,王雨桐,Wang Yutong,16,1005,9,1,200406,1003320449,H1,awayTeamDataCount
6,0,3,3,0,2,0,3,2,3,6,0.5,3,3,1,0,1,0,0,2,0,0,0,0,32005,王家绘,Wang Jiahui,11,947,12,1,200406,1003320449,H1,awayTeamDataCount
3,1,3,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,3,4,0.75,32006,李美潼,Li Meitong,13,726,5,1,200406,1003320449,H1,awayTeamDataCount
1,0,3,3,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,2,0,1,4,0.25,30097,钱媛媛,Qian Yuanyuan,3,698,8,1,200406,1003320449,H1,awayTeamDataCount
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,362,-1,0,200406,1003320449,H1,awayTeamDataCount
2,0,1,1,0,0,0,0,1,1,2,0.5,1,1,1,0,1,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,340,4,0,200406,1003320449,H1,awayTeamDataCount
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,324,-2,0,200406,1003320449,H1,awayTeamDataCount
6,0,1,1,0,0,0,0,1,2,3,0.6667,0,0,0,0,1,0,2,2,1,0,0,0,32012,李若莹,Li Ruoying,31,253,-4,0,200406,1003320449,H1,awayTeamDataCount
