_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,护框尝试频率百分位排名,护框尝试频率,护框出手总数,护框成功频率,护框失败频率,护框时对手命中率百分位排名,护框时对手命中率
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SG,178,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,6588,0.604,false,41.01,0.032258,56.83,0.097015,48.92,0.027753,0,0,97.84,0.004626,,5,5,2,3,,0.6
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,PG,178,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,8,4303,0.394,false,13.6,0.014925,88,0.136986,7.2,0.006559,97.6,0.026316,84,0.013118,,3,3,2,1,,0.333333
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SF,178,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,19,0.002,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,13,11628,193.8,true,14.78,0.018349,64.35,0.102041,19.83,0.015881,0,0,22.41,0.042348,0,10,10,8,2,98.86,0.2
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,7952,0.684,false,31.03,0.027397,53.45,0.093333,6.03,0.007862,0,0,48.28,0.031447,,8,8,8,0,,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SF,178,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,5,3460,0.298,false,0,0,43.44,0.1,73.77,0.034024,0,0,0,0.068047,,2,2,0,2,,1
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,PG,178,74,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,216,0.019,false,0,0,100,0.333333,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,,,18,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,4,2432,40.5,true,61.11,0.051282,55.56,0.1,57.89,0.025339,0,0,47.37,0.025339,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,1877,0.772,false,42.11,0.038462,52.63,0.095238,73.68,0.032788,0,0,68.42,0.016394,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,PG,178,74,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,555,0.228,false,77.78,0.076923,88.89,0.125,0,0,0,0,5.56,0.055772,,0,0,0,0,,
