得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
4,0,1,1,0,0,0,0,0,1,3,0.3333,0,0,0,0,0,0,1,3,0.3333,1,2,0.5,92064,刘琦,Liu Qi,6,401,-4,0,200406,1003320453,Q2,homeTeamDataCount
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,80514,王镘淋,Wang Manlin,9,289,-7,0,200406,1003320453,Q2,homeTeamDataCount
0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,40730,李嘉琳,Li Jialin,2,173,-2,0,200406,1003320453,Q2,homeTeamDataCount
,0,0,0,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,Q2,homeTeamDataCount
6,2,8,10,2,3,1,6,4,2,16,0.125,1,4,0.25,0,1,0,1,11,0.0909,1,2,0.5,,总和,,,,-11,,200406,1003320453,Q2,homeTeamDataCount
6,1,1,2,0,2,0,0,0,3,5,0.6,1,3,0.3333,2,2,1,0,0,0,0,1,0,32006,李美潼,Li Meitong,13,395,9,1,200406,1003320449,Q2,awayTeamDataCount
3,0,3,3,2,0,0,0,0,1,3,0.3333,0,0,0,0,2,0,1,1,1,0,0,0,32005,王家绘,Wang Jiahui,11,381,12,1,200406,1003320449,Q2,awayTeamDataCount
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,318,6,1,200406,1003320449,Q2,awayTeamDataCount
6,0,0,0,0,0,0,2,1,2,4,0.5,0,0,0,0,1,0,2,3,0.6667,0,0,0,80550,伍湘琳,Wu Xianglin,10,282,5,1,200406,1003320449,Q2,awayTeamDataCount
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,199,7,1,200406,1003320449,Q2,awayTeamDataCount
0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,32012,李若莹,Li Ruoying,31,350,4,0,200406,1003320449,Q2,awayTeamDataCount
0,0,1,1,1,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,31999,贾晋文,Jia Jinwen,4,326,4,0,200406,1003320449,Q2,awayTeamDataCount
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,298,7,0,200406,1003320449,Q2,awayTeamDataCount
2,1,1,2,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,205,2,0,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,171,-1,0,200406,1003320449,Q2,awayTeamDataCount
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,75,0,0,200406,1003320449,Q2,awayTeamDataCount
,1,2,3,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q2,awayTeamDataCount
17,5,11,16,4,4,0,6,3,7,20,0.35,1,4,0.25,3,9,0.3333,3,7,0.4286,0,1,0,,总和,,,,11,,200406,1003320449,Q2,awayTeamDataCount
4,1,3,4,2,0,0,1,1,1,2,0.5,0,0,0,0,0,0,1,2,0.5,1,2,0.5,32064,王小青,Wang Xiaoqing,5,600,-2,1,200406,1003320453,Q3,homeTeamDataCount
4,1,1,2,0,0,2,0,1,2,4,0.5,2,2,1,0,1,0,0,1,0,0,0,0,32067,高梓悦,Gao Ziyue,16,600,-2,1,200406,1003320453,Q3,homeTeamDataCount
7,3,1,4,3,1,0,2,1,2,4,0.5,2,3,0.6667,0,1,0,0,0,0,3,5,0.6,32071,张涛,Zhang Tao,11,600,-2,1,200406,1003320453,Q3,homeTeamDataCount
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,32072,吴语桐,Wu Yutong,4,227,-9,1,200406,1003320453,Q3,homeTeamDataCount
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93035,李瑜婧,Li Yujing,21,201,-4,1,200406,1003320453,Q3,homeTeamDataCount
2,0,1,1,0,0,0,0,0,1,2,0.5,1,1,1,0,1,0,0,0,0,0,0,0,80514,王镘淋,Wang Manlin,9,373,7,0,200406,1003320453,Q3,homeTeamDataCount
3,0,0,0,1,0,0,0,0,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,40730,李嘉琳,Li Jialin,2,248,5,0,200406,1003320453,Q3,homeTeamDataCount
2,0,0,0,0,0,1,0,0,1,2,0.5,0,0,0,1,1,1,0,1,0,0,0,0,92064,刘琦,Liu Qi,6,151,-3,0,200406,1003320453,Q3,homeTeamDataCount
,1,2,3,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,Q3,homeTeamDataCount
23,6,8,14,6,1,3,5,4,8,16,0.5,5,6,0.8333,1,4,0.25,2,6,0.3333,5,9,0.5556,,总和,,,,-2,,200406,1003320453,Q3,homeTeamDataCount
4,2,0,2,3,1,0,0,0,2,4,0.5,2,4,0.5,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,600,2,1,200406,1003320449,Q3,awayTeamDataCount
4,2,0,2,0,2,0,0,3,2,7,0.2857,1,3,0.3333,1,1,1,0,3,0,0,0,0,80550,伍湘琳,Wu Xianglin,10,548,8,1,200406,1003320449,Q3,awayTeamDataCount
8,1,2,3,1,1,0,2,0,3,6,0.5,1,1,1,1,2,0.5,1,3,0.3333,1,3,0.3333,32005,王家绘,Wang Jiahui,11,507,2,1,200406,1003320449,Q3,awayTeamDataCount
3,0,1,1,0,0,0,0,0,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0,32006,李美潼,Li Meitong,13,393,0,1,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,187,5,1,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,32012,李若莹,Li Ruoying,31,341,-5,0,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,217,-4,0,200406,1003320449,Q3,awayTeamDataCount
6,1,0,1,1,0,0,0,2,2,3,0.6667,1,1,1,0,1,0,1,1,1,1,1,1,76061,赵婧涵,Zhao Jinghan,1,207,2,0,200406,1003320449,Q3,awayTeamDataCount
,1,0,1,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q3,awayTeamDataCount
25,7,3,10,6,4,0,2,7,10,24,0.4167,5,10,0.5,2,4,0.5,3,10,0.3,2,4,0.5,,总和,,,,2,,200406,1003320449,Q3,awayTeamDataCount
2,0,1,1,2,1,0,0,1,1,2,0.5,1,1,1,0,1,0,0,0,0,0,0,0,32071,张涛,Zhang Tao,11,600,0,1,200406,1003320453,Q4,homeTeamDataCount
2,0,0,0,0,0,0,2,1,1,3,0.3333,1,1,1,0,0,0,0,2,0,0,0,0,32064,王小青,Wang Xiaoqing,5,336,-2,1,200406,1003320453,Q4,homeTeamDataCount
0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32067,高梓悦,Gao Ziyue,16,283,-3,1,200406,1003320453,Q4,homeTeamDataCount
3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,32072,吴语桐,Wu Yutong,4,264,2,1,200406,1003320453,Q4,homeTeamDataCount
5,2,1,3,0,0,0,0,1,2,7,0.2857,1,3,0.3333,1,2,0.5,0,2,0,1,1,1,40730,李嘉琳,Li Jialin,2,600,0,0,200406,1003320453,Q4,homeTeamDataCount
5,2,0,2,0,0,0,1,0,2,4,0.5,1,1,1,0,1,0,1,2,0.5,0,0,0,80514,王镘淋,Wang Manlin,9,600,0,0,200406,1003320453,Q4,homeTeamDataCount
3,0,1,1,1,0,0,0,1,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,92064,刘琦,Liu Qi,6,317,3,0,200406,1003320453,Q4,homeTeamDataCount
,0,0,0,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,Q4,homeTeamDataCount
20,5,5,10,3,1,0,4,5,8,19,0.4211,4,6,0.6667,2,5,0.4,2,8,0.25,2,2,1,,总和,,,,0,,200406,1003320453,Q4,homeTeamDataCount
4,0,1,1,2,1,1,1,0,2,4,0.5,0,0,0,2,3,0.6667,0,1,0,0,0,0,32005,王家绘,Wang Jiahui,11,453,0,1,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,317,-3,1,200406,1003320449,Q4,awayTeamDataCount
0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80550,伍湘琳,Wu Xianglin,10,283,3,1,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32006,李美潼,Li Meitong,13,168,0,1,200406,1003320449,Q4,awayTeamDataCount
2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,166,0,1,200406,1003320449,Q4,awayTeamDataCount
5,0,0,0,1,0,0,0,0,2,3,0.6667,0,0,0,1,1,1,1,2,0.5,0,0,0,80548,罗巧梅,Luo Qiaomei,7,600,0,0,200406,1003320449,Q4,awayTeamDataCount
7,0,1,1,0,0,0,0,3,2,2,1,1,1,1,1,1,1,0,0,0,3,4,0.75,31999,贾晋文,Jia Jinwen,4,434,0,0,200406,1003320449,Q4,awayTeamDataCount
2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,80546,陈怡静,Chen Yijing,21,432,0,0,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32012,李若莹,Li Ruoying,31,147,0,0,200406,1003320449,Q4,awayTeamDataCount
,0,1,1,,,,0,1,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q4,awayTeamDataCount
20,1,6,7,6,3,1,2,5,7,13,0.5385,2,2,1,4,6,0.6667,1,5,0.2,5,6,0.8333,,总和,,,,0,,200406,1003320449,Q4,awayTeamDataCount
0,0,2,2,3,0,0,2,1,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,32064,王小青,Wang Xiaoqing,5,1011,-7,1,200406,1003320453,H1,homeTeamDataCount
6,0,7,7,2,2,1,1,1,3,7,0.4286,3,3,1,0,3,0,0,1,0,0,1,0,32067,高梓悦,Gao Ziyue,16,966,-9,1,200406,1003320453,H1,homeTeamDataCount
0,0,2,2,1,1,0,5,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,32071,张涛,Zhang Tao,11,953,-8,1,200406,1003320453,H1,homeTeamDataCount
3,3,1,4,1,0,0,0,1,1,4,0.25,0,1,0,0,2,0,1,1,1,0,2,0,32072,吴语桐,Wu Yutong,4,711,-5,1,200406,1003320453,H1,homeTeamDataCount
2,1,0,1,1,0,0,1,1,1,4,0.25,1,1,1,0,0,0,0,3,0,0,0,0,93035,李瑜婧,Li Yujing,21,707,-3,1,200406,1003320453,H1,homeTeamDataCount
6,0,1,1,0,0,0,0,1,1,3,0.3333,0,0,0,0,0,0,1,3,0.3333,3,4,0.75,92064,刘琦,Liu Qi,6,540,-5,0,200406,1003320453,H1,homeTeamDataCount
6,0,2,2,0,1,0,0,2,1,3,0.3333,0,0,0,0,0,0,1,3,0.3333,3,4,0.75,80514,王镘淋,Wang Manlin,9,516,-10,0,200406,1003320453,H1,homeTeamDataCount
0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,40730,李嘉琳,Li Jialin,2,427,-6,0,200406,1003320453,H1,homeTeamDataCount
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,88706,孙楷文,Sun Kaiwen,15,169,-2,0,200406,1003320453,H1,homeTeamDataCount
,2,2,4,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,H1,homeTeamDataCount
23,6,18,24,8,4,1,10,10,7,33,0.2121,4,10,0.4,0,7,0,3,16,0.1875,6,11,0.5455,,总和,,,,-11,,200406,1003320453,H1,homeTeamDataCount
5,0,5,5,3,0,0,2,0,1,10,0.1,0,1,0,0,7,0,1,2,0.5,2,2,1,32005,王家绘,Wang Jiahui,11,877,10,1,200406,1003320449,H1,awayTeamDataCount
12,0,0,0,0,1,0,2,2,4,10,0.4,1,2,0.5,1,2,0.5,2,6,0.3333,2,2,1,80550,伍湘琳,Wu Xianglin,10,675,4,1,200406,1003320449,H1,awayTeamDataCount
0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,607,3,1,200406,1003320449,H1,awayTeamDataCount
6,1,1,2,0,2,0,0,2,3,5,0.6,1,3,0.3333,2,2,1,0,0,0,0,1,0,32006,李美潼,Li Meitong,13,530,9,1,200406,1003320449,H1,awayTeamDataCount
2,1,2,3,0,0,0,0,1,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,383,4,1,200406,1003320449,H1,awayTeamDataCount
5,1,2,3,0,1,1,2,3,2,3,0.6667,0,0,0,1,2,0.5,1,1,1,0,0,0,80546,陈怡静,Chen Yijing,21,670,2,0,200406,1003320449,H1,awayTeamDataCount
0,1,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,32012,李若莹,Li Ruoying,31,661,7,0,200406,1003320449,H1,awayTeamDataCount
2,1,1,2,1,1,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,2,2,1,80548,罗巧梅,Luo Qiaomei,7,482,2,0,200406,1003320449,H1,awayTeamDataCount
2,1,2,3,1,0,0,1,1,1,3,0.3333,1,2,0.5,0,1,0,0,0,0,0,0,0,31999,贾晋文,Jia Jinwen,4,468,5,0,200406,1003320449,H1,awayTeamDataCount
0,2,2,4,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,349,2,0,200406,1003320449,H1,awayTeamDataCount
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,298,7,0,200406,1003320449,H1,awayTeamDataCount
,2,3,5,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,H1,awayTeamDataCount
34,11,22,33,6,7,2,8,10,12,41,0.2927,4,11,0.3636,4,17,0.2353,4,13,0.3077,6,7,0.8571,,总和,,,,11,,200406,1003320449,H1,awayTeamDataCount
9,3,2,5,5,2,0,2,2,3,6,0.5,3,4,0.75,0,2,0,0,0,0,3,5,0.6,32071,张涛,Zhang Tao,11,1200,-2,1,200406,1003320453,H2,homeTeamDataCount
6,1,3,4,2,0,0,3,2,2,5,0.4,1,1,1,0,0,0,1,4,0.25,1,2,0.5,32064,王小青,Wang Xiaoqing,5,936,-4,1,200406,1003320453,H2,homeTeamDataCount
