_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.141255,0.081829,0.133307,-0.052709,0.059043,-0.029119,0.112245,-0.08014,-0.007892,0.057342,0.009251,-0.027307,-0.001358,-0.143769,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,,,,,1440,,差值,,95.87,87.61,89.59,22.26,75.04,34.47,91.02,89.23,54.4,24.96,46.68,61.76,46.86,96.23
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.469337,0.391691,0.603535,0.317507,0.364486,0.290801,0.268707,0.38814,0.239892,0.494382,0.382749,0.302817,0.377358,0.271429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,,,,,1082.1,64928,在场,,71.16,72.66,59.36,45.88,71.54,32.58,59.93,56.18,72.1,71.35,34.27,50.75,33.71,38.58
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.610592,0.47352,0.736842,0.264798,0.423529,0.261682,0.380952,0.308,0.232,0.551724,0.392,0.27551,0.376,0.12766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,,,,,357.9,21472,不在场,,97,90.45,88.2,27.9,86.14,22.28,90.26,84.83,74.72,53.37,30.52,59.36,34.46,87.45
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.031567,0.021221,0.063328,0.070948,0.063896,-0.092171,-0.039439,0.003337,-0.049259,0.162929,0.019209,0.031216,0.03005,-0.053394,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,,,,,725,,差值,,69.91,60.46,73.07,86.82,75.36,11.03,28.22,46.42,76.65,5.3,38.68,34.67,29.66,75.07
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.559006,0.437888,0.695035,0.322981,0.471154,0.23913,0.285714,0.381356,0.20678,0.639344,0.352542,0.288462,0.440678,0.223077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,,,,,181.8,10910,不在场,,90.4,64.4,85.93,68.54,89.57,16.06,62.25,63.25,88.91,23.84,23.01,52.15,13.74,61.09
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.527439,0.416667,0.631707,0.252033,0.407258,0.331301,0.325153,0.378019,0.256039,0.476415,0.333333,0.257246,0.410628,0.276471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,,,,,543.2,32590,在场,,83.77,59.11,74.17,44.54,79.64,45.2,74.83,64.57,81.79,66.72,28.31,64.9,23.01,40.56
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.06226,-0.046891,-0.021942,-0.014624,-0.035202,0.061516,-0.071698,-0.016734,-0.002549,0.007763,-0.049162,-0.10005,0.051711,0.022491,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,,,,,1440,,差值,,14,25.13,39.14,40.22,29.08,82.05,15.8,59.61,51.17,43.45,79.89,89.77,16.7,39.86
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.511698,0.417678,0.643154,0.306759,0.381356,0.275563,0.305031,0.370305,0.238263,0.507389,0.392019,0.308383,0.369718,0.231746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,,,,,1246.2,74772,在场,,82.58,79.21,68.16,40.64,76.78,27.15,72.66,62.92,72.28,65.36,30.52,47.75,37.45,54.49
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.449438,0.370787,0.621212,0.292135,0.346154,0.337079,0.233333,0.353571,0.235714,0.515152,0.342857,0.208333,0.421429,0.254237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,,,,,193.8,11628,不在场,,64.61,66.67,63.67,35.96,65.36,47.57,45.69,70.22,73.78,64.98,45.69,77.72,20.22,45.32
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.097759,-0.01989,0.25672,0.073443,0.020833,-0.053552,0.005769,-0.027891,0.030613,-0.051852,-0.138775,0.027692,0.108164,-0.081992,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32001,王乔睿,,,18,,,,,,125,,差值,,86.67,38.89,85.56,82.22,55.56,32.22,51.11,64.44,35.56,70,95.56,46.67,15.56,75.56
