_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,有效命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.37,0.2579,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,Miscellaneous,3,0.75,4,0,0,0,0,0,0,1,1,0,3,1.5,0,0,1,0.75,0,0,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.48,1.0315,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,585,9.8,1,Transition,2,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0.5,92972,蔡雨昕,Cai Yuxin,15,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11.8702,7.3469,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,585,9.8,1,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,92972,蔡雨昕,Cai Yuxin,15,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,5.9351,3.6735,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,585,9.8,1,Cut,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,92972,蔡雨昕,Cai Yuxin,15,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,5.9351,3.6735,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Transition,5,0.7143,7,2,2,0,3,0,3,0,0,0,1,0.4,0.4,0.6,0,0.1429,1,0.1429,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.9369,2.0588,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Post-Up,13,1.0833,12,7,5,2,1,1,0,0,0,0,3,0.75,0.875,0.125,0,0.25,1,0.0833,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,5.0348,3.5294,68.52,72.22,66.67,96.3,66.67,27.78,0,20.37,35.19
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Spot-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4196,0.2941,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Cut,13,0.8667,15,7,4,3,6,2,4,0,0,0,1,0.461538,0.5385,0.4615,0,0.0667,1,0.0667,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,6.2935,4.4118,60.67,61.09,59,59,51.05,48.12,0,70.71,48.12
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Put-Backs,16,1.3333,12,6,4,2,3,2,1,0,0,0,1,0.666667,0.6667,0.3333,0,0.0833,2,0.1667,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,5.0348,3.5294,80.74,81.48,87.41,85.19,30.37,74.81,0,31.85,68.15
CUBAL一级联赛,CUBAL一级联赛,7346,122.4,11,Miscellaneous,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.8391,0.5882,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Transition,8,1.1429,7,2,2,0,5,2,3,0,0,0,0,0.571429,0.2857,0.7143,0,0,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,2.1742,1.4955,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Post-Up,12,1.0909,11,5,2,3,4,4,0,0,0,0,2,0.666667,0.5556,0.4444,0,0.1818,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,3.4165,2.3501,48,48,82,86,40,56,0,52,0
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Spot-Up,6,1.2,5,0,0,0,4,3,1,0,0,0,1,0.75,0,1,0,0.2,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.553,1.0682,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Cut,36,1.5,24,18,14,4,2,2,0,0,0,0,2,0.8,0.9,0.1,0,0.0833,2,0.0833,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,7.4543,5.1276,81.82,83.33,98.99,97.98,96.97,2.53,0,60.1,55.56
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,P&R-Roll-Man,0,0,3,2,0,2,1,0,1,0,0,0,0,0,0.6667,0.3333,0,0,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.9318,0.6409,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Put-Backs,0,0,4,2,0,2,2,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.2424,0.8546,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,10111,168.5,18,Miscellaneous,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.8333,1,0.1667,30230,安恒瑶,An Hengyao,6,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.8636,1.2819,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Transition,7,0.5,14,1,1,0,3,1,2,5,1,4,5,0.388889,0.1111,0.3333,0.5556,0.3571,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6.0242,4.0876,44.01,48.62,10.6,23.73,2.3,81.11,92.17,7.37,0
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,P&R-Ball-Handler,2,0.2857,7,0,0,0,5,0,5,0,0,0,1,0,0,1,0,0.1429,1,0.1429,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,3.0121,2.0438,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Isolation,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.8606,0.5839,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Spot-Up,5,0.7143,7,0,0,0,1,1,0,5,1,4,1,0.416667,0,0.1667,0.8333,0.1429,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,3.0121,2.0438,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Off-Screen,6,2,3,0,0,0,0,0,0,3,2,1,0,1,0,0,1,0,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.2909,0.8759,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.4303,0.292,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.4303,0.292,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,7396,123.3,6,Miscellaneous,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.4303,0.292,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,Transition,80,1.0526,76,38,28,10,13,7,6,8,0,8,13,0.59322,0.6441,0.2203,0.1356,0.1711,4,0.0526,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,9.865,7.1717,93.05,93.58,77.81,72.73,74.87,44.39,37.97,51.07,38.5
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,P&R-Ball-Handler,25,0.8065,31,3,2,1,14,6,8,0,0,0,9,0.470588,0.1765,0.8235,0,0.2903,5,0.1613,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.0239,2.9253,43.88,45.32,83.45,89.93,43.17,96.4,0,22.3,86.33
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,Isolation,9,1.5,6,1,1,0,5,3,2,0,0,0,0,0.666667,0.1667,0.8333,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.7788,0.5662,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,Spot-Up,31,0.8857,35,8,3,5,11,4,7,9,4,5,5,0.464286,0.2857,0.3929,0.3214,0.1429,2,0.0571,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.5431,3.3028,19.71,19.23,83.17,78.85,93.03,72.12,13.94,34.62,67.55
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,Off-Screen,13,1.3,10,2,2,0,1,1,0,3,2,1,4,1,0.3333,0.1667,0.5,0.4,0,0,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.298,0.9436,22.92,18.75,89.58,100,100,54.17,10.42,0,0
CUBAL一级联赛,CUBAL一级联赛,22888,381.5,17,Hand-Off,3,1.5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,80548,罗巧梅,Luo Qiaomei,7,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.2596,0.1887,,,,,,,,,
