_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SF,178,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,19,0.002,false,0,0,0,0,0,0,5.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,1,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,13,11628,193.8,true,45.22,0.359375,24.35,8,89.57,0.75,77.39,26,55.65,0.307692,59.13,30,42.61,0.2,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,7952,0.684,false,27.59,0.318182,5.17,4,36.21,0.5,55.17,18,67.24,0.333333,47.41,22,32.76,0.181818,0,0,0,0,36.21,2,0,0,51.72,20,45.69,0.2,63.79,16,76.72,0.375,24.14,2,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SF,178,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,5,3460,0.298,false,68.85,0.45,8.2,4,100,1,23.77,8,45.9,0.25,23.77,8,58.2,0.25,0,0,0,0,0,0,0,0,29.51,8,58.2,0.25,23.77,6,61.48,0.333333,36.07,2,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,PG,178,74,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,216,0.019,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,,,18,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,4,2432,40.5,true,88.89,0.535714,27.78,4,100,1,44.44,5,77.78,0.4,22.22,5,38.89,0.2,72.22,6,44.44,0.5,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,1877,0.772,false,100,0.722222,31.58,4,100,1,26.32,3,73.68,0.333333,10.53,2,100,0.5,21.05,2,100,1,47.37,1,100,1,10.53,1,0,0,31.58,3,63.16,0.333333,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,PG,178,74,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,555,0.228,false,11.11,0.2,0,0,0,0,5.56,2,88.89,0.5,0,3,0,0,50,4,33.33,0.25,16.67,1,0,0,0,2,0,0,16.67,2,72.22,0.5,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30,19941,332.4,true,54.03,0.392857,83.87,34,49.19,0.5,93.55,40,71.77,0.35,95.16,66,54.03,0.242424,98.39,43,82.26,0.767442,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,10098,0.506,false,60,0.40678,36.8,11,22.4,0.363636,71.2,18,51.2,0.277778,64,30,84,0.333333,64.8,14,100,1,61.6,3,0,0,68,27,88,0.37037,43.2,8,74.4,0.375,90.4,10,55.2,0.2
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,13,9294,0.466,false,56.12,0.407895,66.19,23,60.43,0.565217,74.82,21,83.45,0.428571,65.47,32,36.69,0.1875,89.93,29,58.27,0.655172,36.69,2,0,0,71.22,30,43.17,0.2,76.26,17,85.61,0.470588,68.35,4,55.4,0.25
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2,549,0.028,false,0,0,0,0,0,0,5.44,1,0,0,17.69,4,0,0,0,0,0,0,0,0,0,0,17.69,4,0,0,11.56,1,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,41,32766,546.1,true,15.65,0.291304,92.17,52,53.04,0.538462,93.91,58,27.83,0.206897,96.52,120,25.22,0.15,80.87,26,83.48,0.769231,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,23342,0.712,false,8.62,0.255814,89.66,44,36.21,0.5,85.34,38,14.66,0.105263,93.97,90,20.69,0.133333,67.24,18,84.48,0.777778,87.07,12,0,0,94.83,78,29.31,0.153846,80.17,22,24.14,0.181818,93.1,16,0,0
