_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CBDL,CBDL,1003321308,中国U17,0.514706,0.338235,0.608696,0.235294,0.375,0.426471,0.344828,0.484127,0.412698,0.615385,0.190476,0.333333,0.396825,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,40.7,2440,不在场,,64.29,20.24,54.76,59.52,60.71,65.48,73.81,42.86,36.9,42.86,66.67,48.81,39.29,48.81
CBDL,CBDL,1003321308,中国U17,-0.020816,-0.041425,-0.059524,0.023405,0.12381,0.01802,-0.027586,-0.113489,-0.060085,-0.227518,0.055143,0.057335,0.004942,-0.080357,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,,,,,240.10000000000002,,差值,,34.67,30.67,26.67,70.67,88,60.67,39.33,93.33,82,98.67,13.33,30,48.67,78.67
CBDL,CBDL,1003321308,中国U17,0.528169,0.394366,0.642857,0.197183,0.342857,0.408451,0.337931,0.47956,0.399371,0.543307,0.248428,0.35443,0.352201,0.330357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,,,,,202.9,12171,在场,,66.67,50,70.24,38.1,54.76,64.29,73.81,42.86,48.81,69.05,29.76,45.24,60.71,29.76
CBDL,CBDL,1003321308,中国U17,0.507353,0.352941,0.583333,0.220588,0.466667,0.426471,0.310345,0.366071,0.339286,0.315789,0.303571,0.411765,0.357143,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,,,,,37.2,2229,不在场,,61.9,23.81,40.48,52.38,83.33,65.48,65.48,86.9,79.76,98.81,11.9,27.38,59.52,58.33
CBDL,CBDL,1003321308,中国U17,0.0433,-0.142119,0.071539,0.001791,-0.161765,0.140329,0.101399,-0.118156,0.038503,0.142544,0.041152,-0.178132,-0.079654,-0.272727,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,240,,差值,,74.67,4.67,76.67,54.67,6.67,97.33,87.33,94.67,26.67,5.33,21.33,94,88,98.67
CBDL,CBDL,1003321308,中国U17,0.516224,0.415929,0.624113,0.20059,0.397059,0.383481,0.307692,0.486577,0.38255,0.482456,0.248322,0.405405,0.369128,0.363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,189.9,11396,在场,,64.29,66.67,57.14,39.29,66.67,52.38,65.48,42.86,58.33,83.33,29.76,29.76,51.19,22.62
CBDL,CBDL,1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,50.1,3004,不在场,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100
CBDL,CBDL,1003321308,中国U17,0.053676,0.062318,-0.03108,-0.046659,-0.026727,-0.015658,0.092558,0.023087,0.117617,-0.02381,-0.013291,-0.093795,-0.104327,0.107503,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,240,,差值,,79.33,80,36.67,14,36.67,42.67,86,35.33,2,60,59.33,81.33,95.33,9.33
CBDL,CBDL,1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,80.7,4841,不在场,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67
CBDL,CBDL,1003321308,中国U17,0.505535,0.365314,0.646465,0.217712,0.372881,0.416974,0.300885,0.454357,0.348548,0.52381,0.261411,0.396825,0.390041,0.287234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,159.3,9559,在场,,61.9,33.33,71.43,48.81,59.52,65.48,61.9,55.95,79.76,75,26.19,33.33,44.05,44.05
CBDL,CBDL,1003321308,中国U17,0.000196,-0.207311,0.121795,-0.001044,0.011364,0.208355,0,-0.038296,-0.091078,0.027184,-0.020941,-0.183721,0.11202,-0.002795,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,,,,,240.1,,差值,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,0.524804,0.407311,0.628205,0.201044,0.363636,0.391645,0.333333,0.466867,0.400602,0.511278,0.259036,0.383721,0.340361,0.318584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,,,,,215.1,12903,在场,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,0.525,0.2,0.75,0.2,0.375,0.6,0.333333,0.428571,0.309524,0.538462,0.238095,0.2,0.452381,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,,,,,25,1497,不在场,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,-0.049918,0.013731,0.007226,0.043696,0.019608,-0.057427,-0.084336,-0.000947,-0.06755,0.01446,0.023359,0.154892,0.044192,-0.078285,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,240,,差值,,18.67,52,54,82.67,57.33,26,17.33,51.33,85.33,38,34.67,10.67,22,78
CBDL,CBDL,1003321308,中国U17,0.552083,0.380208,0.630137,0.177083,0.352941,0.442708,0.376471,0.463068,0.426136,0.506667,0.244318,0.27907,0.329545,0.362069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,105.8,6348,在场,,76.19,39.29,60.71,30.95,54.76,73.81,82.14,47.62,30.95,79.76,29.76,67.86,73.81,22.62
CBDL,CBDL,1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,134.2,8052,不在场,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05
