_group,_seasonYear,_season,playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Zhang Yizhaojie,13,PF,1674,27.9,200390010270,1,2026-01-18,1,0,72.42,5.48,96.67,0.282911,56.67,0.503555,20,0.0625,86.67,0.055928,0.043706,93.33,0,0,0.068966,53.33,0.043478,3.33,0,0,0,
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Zhang Yizhaojie,13,PF,2109,35.2,200390010274,1,2026-01-17,1,0,69.81,5.16,83.33,0.251407,43.33,0.486618,33.33,0.086957,6.67,0.233209,0.054364,96.67,0.027778,76.67,0.078947,73.33,0.09375,13.33,6,2,4,0.666667
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Zhang Yizhaojie,13,PF,2145,35.8,200390010279,1,2026-01-15,1,0,7.55,-1.78,100,0.337947,6.67,0.343053,93.33,0.2,20,0.176554,0.014836,40,0.038462,93.33,0.102564,86.67,0.125,43.33,4,1,3,0.75
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Zhang Yizhaojie,13,PF,1551,25.9,200390010283,1,2026-01-14,1,0,98.55,13.47,100,0.307796,66.67,0.551471,100,0.5,60,0.10917,0.087444,100,0.037037,90,0.05,33.33,0.212121,90,2,2,0,0
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Zhang Yizhaojie,13,PF,1171,19.5,200390010286,1,2026-01-13,1,0,47.02,2.49,43.33,0.193966,80,0.583333,100,0.307692,0,0.333333,0.026239,70,0,0,0.047619,26.67,0.1,20,2,2,0,0
CBDL,2025,2025-26,34608,孙陈鹏,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Sun Chenpeng,14,SF,1068,17.8,200390010267,0,2026-01-19,1,0,24.53,0.35,18.75,0.143403,0,0,28.13,0.083333,40.63,0.166667,0.066376,96.88,0,0,0,0,0.315789,100,4,1,3,0.75
CBDL,2025,2025-26,34608,孙陈鹏,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Sun Chenpeng,14,SF,1315,21.9,200390010270,0,2026-01-18,1,0,52.1,3.06,12.5,0.133097,100,1,18.75,0.0625,0,0.5,0.053036,93.75,0,0,0,0,0.0625,3.13,3,0,3,1
CBDL,2025,2025-26,34608,孙陈鹏,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Sun Chenpeng,14,SF,57,1,200390010279,0,2026-01-15,1,0,,-0.34,,0,,0,,0,,0,0,,0,,0,,0,,0,0,0,
CBDL,2025,2025-26,34538,刘玄昱,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Liu Xuanyu,15,PF,963,16.1,200390010267,0,2026-01-19,1,0,96.52,11.56,90,0.27343,96.67,0.795053,100,0.272727,100,0,0.031797,83.33,0.090909,100,0.0625,43.33,0.125,43.33,4,3,1,0.25
CBDL,2025,2025-26,34538,刘玄昱,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Liu Xuanyu,15,PF,341,5.7,200390010270,0,2026-01-18,1,0,,-0.26,,0.230769,,0.333333,,0,,0,0,,0,,0,,0,,1,0,1,1
CBDL,2025,2025-26,34538,刘玄昱,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Liu Xuanyu,15,PF,140,2.3,200390010274,0,2026-01-17,1,0,,-0.55,,0.2,,0,,0,,0,0,,0,,0,,0,,1,1,0,0
CBDL,2025,2025-26,34538,刘玄昱,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Liu Xuanyu,15,PF,255,4.3,200390010279,0,2026-01-15,1,0,,1.19,,0.324324,,0.531915,,0,,0.347222,0.116641,,0,,0,,0.333333,,1,1,0,0
CBDL,2025,2025-26,34538,刘玄昱,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Liu Xuanyu,15,PF,530,8.8,200390010286,0,2026-01-13,1,0,,-1.23,,0.305499,,0.5,,0.2,,0.333333,0,,0,,0,,0,,2,0,2,1
CBDL,2025,2025-26,34644,谢方煜,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Xie Fangyu,16,PF,579,9.7,200390010267,0,2026-01-19,1,0,,1.79,,0.046908,,1.136364,,0,,0,0,,0,,0.125,,0.2,,1,0,1,1
CBDL,2025,2025-26,34644,谢方煜,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Xie Fangyu,16,PF,726,12.1,200390010270,0,2026-01-18,1,0,17.27,-0.27,3.33,0.105189,0,0,0,0,0,0.333333,0.039328,86.67,0,0,0.090909,80,0.090909,10,3,0,3,1
CBDL,2025,2025-26,34644,谢方煜,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Xie Fangyu,16,PF,151,2.5,200390010274,0,2026-01-17,1,0,,1.27,,0.204918,,1,,0.5,,0,0,,0,,0,,0,,1,0,1,1
CBDL,2025,2025-26,34644,谢方煜,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Xie Fangyu,16,PF,849,14.2,200390010283,0,2026-01-14,1,0,0.73,-4.27,90,0.269139,3.33,0.3,90,0.166667,0,0.444444,0,0,0,0,0.0625,43.33,0.058824,3.33,2,0,2,1
CBDL,2025,2025-26,34644,谢方煜,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Xie Fangyu,16,PF,699,11.7,200390010286,0,2026-01-13,1,0,33.67,1.3,73.33,0.231839,56.67,0.5,0,0,23.33,0.166667,0,0,0.066667,96.67,0,0,0.133333,50,4,3,1,0.25
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Zhang Ziyi,17,C,999,16.7,200390010267,1,2026-01-19,1,0,79.1,6.4,85.71,0.264901,100,0.923913,71.43,0.111111,17.86,0.178571,0,0,0,0,0.315789,100,0,0,1,0,1,1
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Zhang Ziyi,17,C,950,15.8,200390010270,1,2026-01-18,1,0,58.64,3.95,100,0.399791,46.43,0.558659,0,0,89.29,0.065274,0,0,0,0,0.421053,100,0.3,100,7,3,4,0.571429
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Zhang Ziyi,17,C,937,15.6,200390010274,1,2026-01-17,1,0,38.75,1.81,85.71,0.254367,53.57,0.600962,71.43,0.111111,64.29,0.107296,0,0,0,0,0,0,0.2,78.57,7,4,3,0.428571
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Zhang Ziyi,17,C,646,10.8,200390010279,1,2026-01-15,1,0,34.83,1.35,64.29,0.227202,21.43,0.42517,100,0.285714,100,0,0,0,0,0,0.25,100,0,0,1,0,1,1
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Zhang Ziyi,17,C,302,5,200390010283,0,2026-01-14,1,0,,-0.29,,0.160772,,0,,0,,0.5,0,,0.285714,,0,,0.111111,,3,3,0,0
CBDL,2025,2025-26,34991,张子一,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Zhang Ziyi,17,C,1007,16.8,200390010286,1,2026-01-13,1,0,89.4,8.66,92.86,0.280384,57.14,0.617871,42.86,0.083333,100,0,0.060074,96.43,0,0,0.111111,60.71,0.304348,100,3,1,2,0.666667
CBDL,2025,2025-26,34691,姚嘉泽,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Yao Jiayi,18,C,285,4.8,200390010270,0,2026-01-18,1,0,,-0.07,,0,,0,,0,,0,0,,0,,0,,0.166667,,2,1,1,0.5
CBDL,2025,2025-26,34691,姚嘉泽,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Yao Jiayi,18,C,281,4.7,200390010279,0,2026-01-15,1,0,,1.28,,0.1,,1,,0,,0,0,,0,,0.2,,0.333333,,0,0,0,
CBDL,2025,2025-26,34691,姚嘉泽,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Yao Jiayi,18,C,931,15.5,200390010283,0,2026-01-14,1,0,13.79,-0.72,21.43,0.138122,28.57,0.5,53.57,0.1,0,0.6,0,0,0.0625,78.57,0.1875,89.29,0.285714,100,5,4,1,0.2
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Zhao Boxin,19,C,1401,23.4,200390010267,0,2026-01-19,1,0,88.82,8.46,60.71,0.205977,100,0.869565,100,0.25,71.43,0.098039,0,0,0.066667,82.14,0.052632,10.71,0.136364,32.14,1,1,0,0
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Zhao Boxin,19,C,1165,19.4,200390010270,0,2026-01-18,1,0,52.69,3.17,60.71,0.212613,42.86,0.533175,0,0,67.86,0.105932,0,0,0.15,100,0.052632,10.71,0.277778,100,6,5,1,0.166667
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Zhao Boxin,19,C,1458,24.3,200390010274,0,2026-01-17,1,0,85.05,7.4,85.71,0.256323,42.86,0.533333,92.86,0.2,100,0,0,0,0.045455,57.14,0.178571,85.71,0.45,100,7,6,1,0.142857
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Zhao Boxin,19,C,1468,24.5,200390010279,0,2026-01-15,1,0,71.12,5.28,85.71,0.259859,57.14,0.617733,0,0,89.29,0.067751,0,0,0.05,60.71,0.185185,89.29,0.294118,100,7,4,3,0.428571
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Zhao Boxin,19,C,1167,19.5,200390010283,1,2026-01-14,1,0,47.02,2.49,92.86,0.280686,64.29,0.622605,0,0,21.43,0.160772,0,0,0.045455,57.14,0.176471,85.71,0.1,7.14,5,4,1,0.2
CBDL,2025,2025-26,34962,赵博新,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Zhao Boxin,19,C,1393,23.2,200390010286,0,2026-01-13,1,0,93.76,10.38,71.43,0.232353,78.57,0.657895,0,0,25,0.158228,0.043002,92.86,0.24,100,0.095238,50,0.333333,100,9,7,2,0.222222
