_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置)
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,PF,,,大前锋,0.002,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.507353,0.352941,0.583333,0.220588,0.466667,0.426471,0.310345,0.366071,0.339286,0.315789,0.303571,0.411765,1,0.089286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,总和,,,,37.2,2229,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.5,0.352941,0.666667,0.235294,0.5,0.411765,0.238095,0.340909,0.386364,0.352941,0.318182,0.428571,0.295455,0.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,PF,,,大前锋,0.777,1733,,,60.71,23.81,76.19,59.52,86.9,64.29,32.14,95.24,55.95,96.43,9.52,23.81,83.33,92.86,false
CBDL,CBDL,1003321308,中国U17,0.529412,0.352941,0.333333,0.176471,0.333333,0.470588,0.5,0.5,0.181818,0,0.272727,0.333333,0.545455,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,SF,,,小前锋,0.22,491,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,C,,,中锋,0.002,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,PF,,,大前锋,1,3004,,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100,false
CBDL,CBDL,1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,总和,,,,50.1,3004,,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100,true
CBDL,CBDL,1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,C,,,中锋,1,4841,,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67,false
CBDL,CBDL,1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,总和,,,,80.7,4841,,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67,true
CBDL,CBDL,1003321308,中国U17,0.525,0.2,0.75,0.2,0.375,0.6,0.333333,0.428571,0.309524,0.538462,0.238095,0.2,0.452381,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,C,,,中锋,1,1497,,,66.67,0,89.29,38.1,60.71,98.81,70.24,69.05,89.29,70.24,36.9,89.29,21.43,33.33,false
CBDL,CBDL,1003321308,中国U17,0.525,0.2,0.75,0.2,0.375,0.6,0.333333,0.428571,0.309524,0.538462,0.238095,0.2,0.452381,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,总和,,,,25,1497,,,66.67,0,89.29,38.1,60.71,98.81,70.24,69.05,89.29,70.24,36.9,89.29,21.43,33.33,true
CBDL,CBDL,1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,C,,,中锋,1,8052,,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05,false
CBDL,CBDL,1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,总和,,,,134.2,8052,,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05,true
