_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,3,1148,19.1,true,85.71,0.09375,0,0.055556,95.24,0.055885,0,0,19.05,0.055885,,2,2,1,1,,0.5,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,492,0.429,false,0,0,0,0,100,0.136426,0,0,100,0,,2,2,1,1,,0.5,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,396,0.345,false,100,0.25,84.21,0.125,0,0,0,0,10.53,0.076176,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,SG,181,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,260,0.226,false,0,0,0,0,0,0,0,0,0,0.125,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,PF,180,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,1,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,总和,180,80,,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,0.6,true,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,33,21196,353.3,true,88.71,0.068063,57.26,0.097625,48,0.028367,62.1,0.002809,31.2,0.034339,,8,8,5,3,,0.375,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,10769,0.508,false,90.4,0.073684,44,0.082902,57.6,0.032601,81.6,0.005525,48,0.029637,,3,3,0,3,,1,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,SG,175,72,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,10331,0.487,false,74.1,0.062827,70.5,0.11413,41.73,0.024273,0,0,35.97,0.03641,,5,5,5,0,,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,SF,175,72,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,96,0.005,false,0,0,0,0,0,0,0,0,0,0.357143,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,29,24301,405,true,72.28,0.04703,41.58,0.08,37.25,0.024586,52.48,0.002625,51.96,0.028683,63.89,22,22,11,11,63.89,0.5,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,17363,0.714,false,73.53,0.04878,48.04,0.088652,39.22,0.026065,59.8,0.003745,51.96,0.027927,38.36,16,16,7,9,39.73,0.5625,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,SG,175,72,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11,6938,0.286,false,54.31,0.042735,17.24,0.059322,31.9,0.020511,0,0,50.86,0.030767,,6,6,4,2,,0.333333,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,16,6877,114.6,true,97.28,0.165468,85.03,0.170543,25,0.01394,85.03,0.026316,27.7,0.046465,,2,2,0,2,,1,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,PF,185,79,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,4811,0.7,false,95.95,0.153061,62.16,0.141304,23.65,0.012917,83.11,0.025641,8.11,0.064586,,2,2,0,2,,1,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,SF,185,79,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,1654,0.241,false,89.8,0.096774,99.32,0.25,30.61,0.019463,92.52,0.03125,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,C,185,79,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,412,0.06,false,100,0.5,89.58,0.2,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,20,15874,264.6,true,96.6,0.156716,98.64,0.24735,97.3,0.061995,31.97,0.004016,18.24,0.051996,53.08,29,29,21,8,96.15,0.275862,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,21,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,13773,0.868,false,93.92,0.145299,98.65,0.25431,97.97,0.065289,32.43,0.004717,21.62,0.048967,42.75,25,25,17,8,87.02,0.32,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,21,,1003320453,清华大学,SF,184,84,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,1453,0.092,false,100,0.24,86.39,0.147059,81.63,0.039919,0,0,0.68,0.079838,,3,3,3,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,21,,1003320453,清华大学,C,184,84,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,4,648,0.041,false,100,0.222222,100,0.352941,99.31,0.04744,0,0,24.31,0.04744,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,20,25014,416.9,true,96.26,0.138173,100,0.245327,79.63,0.034008,35.51,0.005236,25,0.04353,65.31,42,42,26,16,75.51,0.380952,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,17,24756,0.99,false,97.22,0.13948,99.07,0.243499,81.48,0.034428,36.11,0.005319,28.7,0.042691,63.64,40,40,25,15,76.77,0.375,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,C,184,84,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,2,157,0.006,false,0,0,100,0.666667,0,0,0,0,0,0.167411,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,SF,184,84,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,101,0.004,false,0,0,0,0,0,0,0,0,100,0,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,3,2051,34.2,true,100,0.214286,85,0.16,90.48,0.051103,85,0.029412,0,0.068138,,5,5,3,2,,0.4,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,1507,0.735,false,95.24,0.175,38.1,0.111111,100,0.069695,90.48,0.038462,0,0.069695,,3,3,2,1,,0.333333,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,SF,184,84,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,280,0.137,false,100,0.375,100,0.666667,0,0,0,0,0,0.111111,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,C,184,84,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,264,0.129,false,100,0.25,0,0,0,0,0,0,100,0,,1,1,0,1,,1,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,,,23,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,15,5718,95.3,true,70.55,0.063636,11.64,0.051546,88.44,0.044869,0,0,83.67,0.016826,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,5175,0.905,false,74.15,0.068627,17.01,0.055556,91.84,0.04921,0,0,80.27,0.018454,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,3,451,0.079,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,PF,175,68,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2,92,0.016,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,,,22,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,28,17298,288.3,true,90.43,0.09319,8.7,0.044521,94.83,0.048541,69.57,0.007937,93.1,0.01165,,9,9,5,4,,0.444444,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,15,13512,0.781,false,94.83,0.1,6.03,0.042194,96.55,0.051643,60.34,0.005051,91.38,0.012296,,5,5,3,2,,0.4,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,8,2925,0.169,false,68.85,0.0625,20.49,0.071429,74.59,0.034506,91.8,0.02381,95.9,0.011502,,4,4,2,2,,0.5,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,PF,175,68,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,5,861,0.05,false,74.07,0.090909,0,0,95.37,0.04662,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,3,2004,33.4,true,72.22,0.054545,16.67,0.041667,73.68,0.034168,83.33,0.027027,68.42,0.017084,,6,6,1,5,,0.833333,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,21,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,1891,0.944,false,73.68,0.058824,15.79,0.041667,73.68,0.034168,84.21,0.027778,68.42,0.017084,,6,6,1,5,,0.833333,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,21,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,93,0.046,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
