_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,23,13288,221.5,true,98.63,0.602273,95.89,57,86.99,0.701754,58.22,13,58.22,0.307692,50.68,18,80.82,0.333333,98.63,52,53.42,0.615385,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SF,181,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,12,10014,0.754,false,100,0.651515,87.76,43,93.88,0.767442,49.66,10,77.55,0.4,42.86,13,71.43,0.307692,93.2,38,55.78,0.631579,80.95,8,64.63,0.25,11.56,2,96.6,0.5,24.49,3,92.52,0.666667,24.49,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,PF,181,75,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,9,3134,0.236,false,67.57,0.454545,39.19,14,49.32,0.5,11.49,3,0,0,42.57,5,89.86,0.4,62.84,14,52.03,0.571429,49.32,1,0,0,45.95,4,93.24,0.5,24.32,3,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SG,181,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,84,0.006,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,C,181,75,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,56,0.004,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,27,17549,292.5,true,73.55,0.456731,95.87,60,67.77,0.633333,46.28,16,14.05,0.125,57.85,28,34.71,0.178571,94.21,42,36.36,0.52381,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,15359,0.875,false,63.93,0.426966,88.52,51,61.48,0.607843,39.34,14,10.66,0.071429,51.64,24,29.51,0.166667,92.62,38,48.36,0.578947,80.33,9,74.59,0.333333,45.9,15,21.31,0.066667,49.18,13,15.57,0.076923,23.77,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,9,2190,0.125,false,99.07,0.633333,32.41,9,92.59,0.777778,4.63,2,93.52,0.5,38.89,4,74.07,0.25,24.07,4,0,0,61.11,2,0,0,36.11,2,93.52,0.5,11.11,2,87.04,0.5,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,3,1148,19.1,true,4.76,0.25,25,4,45,0.5,10,3,0,0,30,1,0,0,50,4,30,0.5,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,492,0.429,false,76.19,0.5,0,1,100,1,0,0,0,0,33.33,1,0,0,33.33,2,100,1,0,0,0,0,33.33,1,0,0,0,0,0,0,0,0,0,0,
