_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Transition,20,0.7407,27,8,4,4,3,1,2,9,3,6,6,0.475,0.4,0.15,0.45,0.2222,1,0.037,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,3.9021,2.5266,21.12,25.67,35.03,41.71,30.75,26.74,81.28,34.76,31.55,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,P&R-Ball-Handler,11,0.6875,16,3,2,1,3,0,3,5,2,3,4,0.454545,0.2727,0.2727,0.4545,0.25,1,0.0625,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,2.3123,1.4973,11.51,17.27,72.66,84.89,68.35,22.3,66.19,31.65,38.13,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Isolation,4,2,2,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,1,0.5,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.289,0.1872,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Spot-Up,41,1.3226,31,1,0,1,0,0,0,26,13,13,3,0.722222,0.037,0,0.963,0.0968,1,0.0323,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.4802,2.901,16.11,18.75,99.04,98.56,31.01,0,97.36,56.97,49.76,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Off-Screen,3,0.5,6,0,0,0,0,0,0,6,1,5,0,0.25,0,0,1,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.8671,0.5615,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Hand-Off,5,0.8333,6,1,1,0,0,0,0,3,1,2,2,0.625,0.25,0,0.75,0.3333,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.8671,0.5615,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Cut,6,1.2,5,3,2,1,2,1,1,0,0,0,0,0.6,0.6,0.4,0,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.7226,0.4679,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,P&R-Roll-Man,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.1445,0.0936,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,23083,384.7,18,Miscellaneous,4,0.3077,13,2,1,1,0,0,0,0,0,0,9,0.5,1,0,0,0.6923,2,0.1538,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.8788,1.2165,15.98,19.07,58.76,61.86,100,0,0,50.52,79.38,
CUBAL一级联赛,CUBAL一级联赛,2129,35.5,1,Transition,2,0.6667,3,2,1,1,0,0,0,1,0,1,0,0.333333,0.6667,0,0.3333,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,5.0959,3.0423,,,,,,,,,,
