_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.018305,-0.027422,0.008831,0.036789,-0.060879,-0.009368,0.008268,-0.003868,-0.025355,0,0.018954,0.078802,0.006402,-0.047619,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32067,高梓悦,,,20,,,,,,720,,差值,,35.19,33.75,53.14,70.92,18.13,45.96,53.32,51.35,67.15,47.04,40.75,18.67,43.09,75.94,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.523052,0.443561,0.645161,0.249603,0.375796,0.306836,0.310881,0.360714,0.253571,0.5,0.360714,0.232673,0.385714,0.259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32067,高梓悦,,,20,,,,,,389.7,23380,在场,,85.77,84.64,68.54,23.22,75.84,38.39,74.53,67.23,68.16,69.1,40.07,72.28,30.71,44.01,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.504747,0.416139,0.653992,0.286392,0.314917,0.297468,0.319149,0.356846,0.228216,0.5,0.379668,0.311475,0.392116,0.21164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32067,高梓悦,,,20,,,,,,330.3,19820,不在场,,80.34,78.84,71.35,35.02,53.37,35.58,77.34,68.54,76.03,69.1,35.21,47.38,29.21,62.55,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.017857,0.160714,-0.083917,0.053572,-0.107024,-0.214286,0.15,0.098039,0.143791,-0.014286,-0.189543,0.142857,0.045751,0.083333,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32067,高梓悦,,,19,,,,,,40,,差值,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.285714,0.232143,0.538462,0.410714,0.26087,0.357143,0.1,0.485294,0.411765,0.714286,0.411765,0.357143,0.176471,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32067,高梓悦,,,19,,,,,,26.2,1572,在场,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.303571,0.392857,0.454545,0.464286,0.153846,0.142857,0.25,0.583333,0.555556,0.7,0.222222,0.5,0.222222,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32067,高梓悦,,,19,,,,,,13.8,828,不在场,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.01409,-0.115773,0.185945,-0.004958,0.260661,0.120731,-0.194035,0.181805,-0.089108,0,-0.21836,-0.27154,0.307468,0.212121,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32073,金耘可,,,21,,,,,,720,,差值,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.51409,0.431562,0.647388,0.268116,0.339339,0.300322,0.319035,0.356657,0.242954,0.5,0.372206,0.27154,0.38484,0.232323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32073,金耘可,,,21,,,,,,708.3,42496,在场,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5,0.315789,0.833333,0.263158,0.6,0.421053,0.125,0.538462,0.153846,0.5,0.153846,0,0.692308,0.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32073,金耘可,,,21,,,,,,11.7,704,不在场,,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.03481,-0.036716,-0.075811,0.045672,0.049713,-0.008956,-0.012446,0.032459,0.031003,0.05979,-0.0264,-0.034189,-0.004603,0.043795,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,93035,李瑜婧,,,21,,,,,,690,,差值,,25.64,29.08,18.77,76.93,69.2,45.85,41.55,29.51,29.94,26.5,69.34,63.04,54.01,29.08,
