_group,_leagueName,_seasonYear,底角三分命中率,有效投篮命中率,leagueEvent,leagueEventId,season,seasonId,year,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手eFG%百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队eFG%百分位,teamId,球队中距离命中率百分位排名,teamName,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.2,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,1,0,13,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.690476,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,11.1,0,0,0.178571,,0,0.333333,,0,0,0,0.214286,,0,0.214286,,0,0.571429,,0,,0,0.125,,0,0,0.095238,0,0.809524,0,0.095238,0.764706,663,0,,1003320453,,清华大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.333333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4,0,0,0.111111,,0,0,,0,0,0,0.111111,,0,0.222222,,0,0.666667,,0.5,,0,0,,0,0,0,0,1,0,0,0.333333,241,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.571429,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.6,0,0,0.333333,,0,0,,0,0,0,0,,0,0.666667,,0,0.333333,,0.5,,0,0,,0,0,0,0,0.571429,0,0.428571,1,158,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.625,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,1.9,0,0,0.6,,0,0.5,,0,0,0,0.4,,0,0.4,,0,0.2,,1,,0,0,,0,0,0.5,0,0,0,0.5,0,113,0,,1003320453,,清华大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.76,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.75,12.4,0,0,0.475,,0,0.5,,0,0,0,0.2,,0,0.25,,0,0.55,,0.6,,0,0.272727,,0,0,0.16,0,0.32,0,0.52,0.875,743,0,,1003320453,,清华大学,,,,,,0.461538
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.2,11.3,0,0,0.47619,,0,0.4,,0,0,0,0.47619,,0,0.190476,,0,0.333333,,0.75,,0,0.285714,,0,0,0.208333,0,0.333333,0,0.458333,0.625,677,0,,1003320453,,清华大学,,,,,,0.363636
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.607143,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.166667,12.5,0,0,0.222222,,0,0.2,,0,0,0,0.277778,,0,0.277778,,0,0.444444,,0.6,,0,0,,0,0,0.214286,0,0.178571,0,0.607143,0.8,749,0,,1003320453,,清华大学,,,,,,0.470588
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.6,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,4.2,0,0,0.2,,0,0.2,,0,0,0,0.5,,0,0.3,,0,0.2,,0.333333,,0,0,,0,0,0.2,0,0.6,0,0.2,0.666667,254,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.65,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.8,0,0,0,,0,0,,0,0,0,0.5,,0,0.1,,0,0.4,,0,,0,0,,0,0,0.1,0,0.4,0,0.5,0.5,290,0,,1003320453,,清华大学,,,,,,0.6
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.3,0,0,0.444444,,0,0.333333,,0,0,0,0.333333,,0,0.444444,,0,0.222222,,0.75,,0,0,,0,0,0.333333,0,0.166667,0,0.5,1,255,0,,1003320453,,清华大学,,,,,,0.666667
