_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置),_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.25,0.25,0.5,0.625,0.2,0.125,0,0.222222,0,0,0.555556,0.4,0.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32066,袁欣悦,,,19,,SF,,,小前锋,0.345,396,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.142857,0.571429,0.25,0.428571,0,0,0,0.4,0.4,0.5,0.4,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32066,袁欣悦,,,19,,SG,,,得分后卫,0.226,260,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92943,梁悦洁,,,20,,PF,,,大前锋,1,35,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92943,梁悦洁,,,20,,总和,,,,0.6,35,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.503743,0.371257,0.641129,0.273952,0.371585,0.35479,0.308017,0.400178,0.242424,0.602941,0.392157,0.327273,1,0.083779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80514,王镘淋,,,21,,总和,,,,353.3,21196,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.507267,0.377907,0.669231,0.252907,0.367816,0.369186,0.291339,0.417544,0.263158,0.6,0.37193,0.330189,0.364912,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80514,王镘淋,,,21,,PG,,,控球后卫,0.508,10769,,,79.47,47.35,82.28,44.7,68.87,60.26,64.9,47.68,81.29,33.11,19.04,43.38,41.39,50.17,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.498442,0.364486,0.606838,0.29595,0.368421,0.339564,0.330275,0.385036,0.222628,0.606557,0.412409,0.327434,0.364964,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80514,王镘淋,,,21,,SG,,,得分后卫,0.487,10331,,,76.82,43.05,68.54,60.26,69.21,47.35,75.17,61.92,86.75,31.46,11.92,43.38,41.39,67.05,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.666667,0.333333,1,0.333333,1,0.333333,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80514,王镘淋,,,21,,SF,,,小前锋,0.005,96,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5317,0.384726,0.674157,0.292507,0.339901,0.322767,0.357143,0.383973,0.235392,0.524823,0.400668,0.2875,1,0.096828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80514,王镘淋,,,20,,总和,,,,405,24301,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.534682,0.414258,0.702326,0.289017,0.353333,0.296724,0.318182,0.390951,0.241299,0.557692,0.37819,0.300613,0.38051,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80514,王镘淋,,,20,,PG,,,控球后卫,0.714,17363,,,88.01,78.28,82.58,35.21,67.98,35.58,76.4,55.62,71.72,50.37,35.77,50.75,32.77,50.19,false,
